requirement_id,section,design_clause,review_finding,code_module,unit_test,integration_test,e2e_test,security_test,operational_control,release_evidence,status
DR-GRANT-7,§9.4,Purge on identity change,Resolved C-10,daemon/internal/grants/cache.go,cache_purge_test.go,,,,,,
DR-SVC-0,§11.1,Public device-PoP protocol,Resolved H-16,service/cmd/approval-service/main.go,,,,,,,
DR-SVC-1,§11.2,Stateful service with fencing,Resolved H-22,service/internal/messaging/outbox.go,fencing_test.go,,,,,,
DR-SVC-2,§11.3,Approval state machine,Resolved H-12,service/internal/enforcement/engine.go,state_machine_test.go,,,race_test.go,,,
DR-SVC-3,§11.3,Cancel with race safety,Resolved H-13,service/internal/enforcement/engine.go,cancel_test.go,,,,,,
DR-SVC-4,§11.4,Idempotency & contracts,Resolved M-03,contracts/proto/dnivio/v2/service.proto,,,,,,,
DR-SVC-5,§11.5,Transactional outbox,Resolved H-17,service/internal/messaging/outbox.go,outbox_test.go,,,,,,
DR-SVC-6,§11.5,FCM wake hint only,Resolved H-15,service/internal/messaging/outbox.go,,,,,,,
DR-SVC-7,§11.6,Multi-device sequential routing,Resolved H-14,service/internal/enforcement/engine.go,multi_device_test.go,,,,,,
DR-POL-1,§12.1,Protected-resource registry,Resolved C-12,service/internal/policy/engine.go + service/migrations/001_initial_schema.up.sql,,,,,,,
DR-POL-2,§12.1,Default-deny for protected,Resolved C-12,service/internal/policy/engine.go,policy_test.go,,,,,,
DR-POL-3,§12.1,Dnivio never broadens ACLs,Resolved C-12,service/internal/policy/engine.go,,,,,,,
DR-POL-4,§12.2,Formal policy semantics,Resolved H-06,service/internal/policy/engine.go,policy_eval_test.go,policy_property_test.go,,,,,
DR-POL-5,§12.2,Stable IDs not display names,Resolved M-04,service/internal/policy/engine.go,,,,,,,
DR-POL-6,§12.2,Coverage analysis,Resolved H-06,service/internal/policy/engine.go,coverage_test.go,,,,,,
DR-POL-6a,§12.2,Inventory adapters,Resolved R-05,service/internal/policy/engine.go,,,,,,,
DR-POL-7,§12.3,Policy bundle metadata,Resolved H-07,service/internal/policy/engine.go,bundle_test.go,,,,,,
DR-POL-8,§12.3,Anti-rollback state,Resolved H-07,service/internal/policy/engine.go,anti_rollback_test.go,,,,,,
DR-POL-9,§12.3,Fail-closed on stale policy,Resolved H-07,service/internal/policy/engine.go,staleness_test.go,,,,,,
DR-POL-10,§12.4,Policy admin tooling,Resolved M-08,service/internal/policy/engine.go,,,,,,,
DR-REV-1,§13,Revocation freshness bound R=10s,Resolved C-11,service/internal/revocation/manager.go,freshness_test.go,,,,,,
DR-REV-2,§13,Fail-closed when stale,Resolved C-11,service/internal/revocation/manager.go,freshness_test.go,,,,,,
DR-REV-3,§13,Active-session termination,Resolved C-11,service/internal/revocation/manager.go + daemon/internal/tcpproxy/proxy.go,session_kill_test.go,,,,,,
DR-REV-4,§13,Multi-scope revocation,Resolved C-11,service/internal/revocation/manager.go,,,,,,,
DR-REV-5,§13,DURATION/SESSION revalidation,Resolved C-11,daemon/internal/grants/cache.go,,,,,,,
DR-AUTH-1,§14.1,OIDC per RFC 9700 BCP,Resolved H-03,service/internal/enrollment/oidc.go,oidc_test.go,,,,,,
DR-AUTH-2,§14.1,Enrollment ticket binding,Resolved H-03,service/internal/enrollment/oidc.go,ticket_test.go,,,,,,
DR-AUTH-3,§14.2,Device enrollment with attestation,Resolved C-07,service/internal/enrollment/oidc.go,enrollment_test.go,,,,,,
DR-AUTH-4,§14.3,Node bootstrap credential,Resolved C-14,service/internal/enrollment/oidc.go,node_bootstrap_test.go,,,,,,
DR-AUTH-5,§14.3,Certificate profile verification,Resolved C-14,service/internal/enrollment/oidc.go,cert_test.go,,,,,,
DR-AUTH-6,§14.3,Rogue-registration tests,Resolved C-14,,,,reg_test.go,§22.3 gate,,,
DR-AUTH-7,§14.4,Deny-by-default RBAC,Resolved C-13,service/internal/auth/rbac.go,rbac_test.go,,,,,,
DR-AUTH-8,§14.4,Separation of duties,Resolved C-13,service/internal/auth/rbac.go,sod_test.go,,,,,,
DR-AUTH-9,§14.4,Cross-tenant & IDOR gates,Resolved C-13,,,,idor_test.go,§22.3 gate,,,
DR-APP-1,§15.1,Two-key Android implementation,Resolved C-07,android/app/,,,,,,,
DR-APP-2,§15.2,Request verification before render,Resolved C-08,android/app/,,,,,,,
DR-APP-3,§15.2,WCAG a11y + localization,Resolved M-06,android/app/,,,,,,,
DR-APP-4,§15.3,Public-HTTPS device-PoP,Resolved H-16,service/cmd/approval-service/main.go,,,,,,,
DR-APP-5,§15.3,FCM hint + OEM testing,Resolved H-15,service/internal/messaging/outbox.go,,,,,,,
DR-APP-6,§15.4,Device lifecycle & recovery,Resolved M-07,service/internal/auth/rbac.go,,,,,,,
DR-APP-7,§15.6,Key lifecycle specification,Resolved C-07,service/internal/crypto/keymanager.go,,,,,,,
DR-AUD-1,§16.1,Per-tenant advisory lock audit,Resolved H-20,service/internal/audit/chain.go + service/migrations/001_initial_schema.up.sql,audit_test.go,,,,,,
DR-AUD-2,§16.1,Signed checkpoint export,Resolved H-20,service/internal/audit/chain.go,checkpoint_test.go,,,,,,
DR-AUD-3,§16.1,Provenance separation,Resolved H-25,service/internal/audit/chain.go,,,,,,,
DR-AUD-4,§16.1,Retention minima + legal hold,Resolved M-16,service/internal/audit/chain.go,,,,,,,
DR-SEC-1,§18,Vault Transit envelope encryption,Resolved H-28,service/internal/crypto/keymanager.go,,,,,,,
DR-AVL-1,§19.1,SLO/RTO/RPO + DR,Resolved H-29,service/internal/config/config.go,,,,,,,
DR-BG-1,§19.2,2-of-3 FIDO2 break-glass,Resolved H-30,service/migrations/001_initial_schema.up.sql (breakglass table),,,,breakglass_test.go,,,
DR-CAP-1,§20.1,Valkey hierarchical token buckets,Resolved H-18,service/internal/ratelimit/limiter.go,ratelimit_test.go,,,,,,
DR-CAP-2,§20.2,Bounded held connections,Resolved H-19,daemon/internal/tcpproxy/proxy.go,connection_bounds_test.go,,,,,,
DR-CAP-3,§20.3,Performance SLOs,Resolved M-20,,,,load_test.go,benchmark test,,,
DR-SUP-1,§21.1,Hardened release pipeline,Resolved H-24,,,,,static analysis + SBOM,signed artifacts,,
DR-CFG-1,§21.2,Versioned typed config,Resolved M-14,service/internal/config/config.go,config_test.go,,,,,,
DR-VER-1,§21.2,Wire contract versioning,Resolved M-12,contracts/proto/dnivio/v2/service.proto,version_test.go,,,,,,
DR-ERR-1,§21.3,Error taxonomy,Resolved M-15,contracts/proto/dnivio/v2/service.proto,error_test.go,,,,,,
DR-OBS-1,§16.2,OpenTelemetry observability,Resolved M-09,service/internal/observability/,,dashboard_config.json,,,,
